 M_T	HIFFloxFPBS1-C18Neg	HIFFloxFPBS2-C18Neg	HIFFloxFPBS5-C18Neg	HIFFloxFPBS6-C18Neg	HIFFloxFPBS7-C18Neg	HIFFloxFPBS8-C18Neg	HIFmsdFPBS1-C18Neg	HIFmsdFPBS2-C18Neg	HIFmsdFPBS3-C18Neg	HIFmsdFPBS4-C18Neg	HIFmsdFPBS5-C18Neg	HIFmsdFPBS6-C18Neg	HIFFloxMPBS1-C18Neg	HIFFloxMPBS2-C18Neg	HIFFloxMPBS3-C18Neg	HIFFloxMPBS4-C18Neg	HIFFloxMPBS7-C18Neg	HIFFloxMPBS8-C18Neg	HIFmsdMPBS1-C18Neg	HIFmsdMPBS3-C18Neg	HIFmsdMPBS4-C18Neg	HIFmsdMPBS5-C18Neg	HIFmsdMPBS6-C18Neg	HIFmsdMPBS8-C18Neg
241.012454456574_375.927650267427	124144.6572	157954.4809	116161.714	211736.7709	391767.9688	418295.7706	120355.1399	163722.9785	162886.454	105981.0354	156576.3321	180007.0228	141907.1985	176461.8329	178308.5728	198638.3701	126983.5531	136222.59	244981.1503	194695.8347	132829.9722	132324.4593	101544.6679	139362.3354
294.984755460259_329.131434614582	41957.26239	38245.43696	36382.09158	41418.52625	37028.43772	43209.67869	41477.35039	36915.71109	41951.99629	30582.85635	39911.94251	40906.77941	36239.97421	39927.51515	43079.98365	44272.13999	38362.69491	37633.58828	41747.51835	31830.50078	42856.93499	34707.9301	44512.13755	44918.06138
293.178582781318_466.329216539287	114480.084	80088.30856	93949.33619	94822.11839	93330.36744	87651.3454	90929.83688	106489.4487	121957.3695	92630.26285	108638.593	106841.2613	100525.8314	95579.70578	74496.31237	94706.86213	104396.2203	83993.16763	135904.3888	129423.735	114636.6427	89529.33929	97175.74763	113077.5344
85.0048904272557_603.026794673117	412080.6546	409451.2311	464795.9283	464248.6307	9478.122445	525609.0011	494519.0621	10752.56216	11226.05999	408032.9197	506559.3611	528849.9879	427091.1534	11125.85081	568172.2929	482826.4689	449988.4827	447344.8853	515912.7232	456302.2952	9990.91706	507024.7533	604541.4666	511779.2076
248.998635498479_382.735116033664	23914.45776	21534.11982	22304.3543	23743.61525	22475.00991	24485.66246	28761.2509	25488.24144	28143.85932	26070.51316	26058.0662	23231.67768	25081.98562	27067.66213	21678.81251	26050.80848	25318.4326	29162.58336	28974.08611	24667.20255	24122.03664	21101.35367	23156.98121	24415.59289
249.153463669607_470.203752346488	5913.997663	5039.972324	8489.573804	7090.937541	5615.503574	6220.375722	5875.783873	8800.655687	10600.44696	7098.670537	7360.514524	8237.90186	9692.525691	6362.23789	1345.532537	6751.397821	5625.552906	5181.849866	9199.67804	7820.071719	8782.700537	6331.372219	6226.34784	8317.222811
293.009283605768_355.254622472312	52714.52173	45647.66352	38756.33802	27637.76168	40496.21522	43623.7506	56877.36429	45372.31535	49724.47822	46963.7017	39625.72251	55938.58436	42270.97458	50459.65528	55135.826	44465.27269	41521.70851	32269.09445	31332.55061	54903.95362	51707.66942	54539.0559	46080.18501	27598.14939
147.94102325104_16.0497356925252	13712.96489	15844.52872	14212.43964	17580.16005	7763.493693	16405.08719	17480.89423	15933.78673	14801.93752	6194.862285	14875.41704	18490.54783	13154.60713	6528.525061	14990.97822	15108.24219	13842.87659	8837.754704	7961.061712	14252.65864	6718.2996	14665.2642	14274.80492	22703.19709
325.204962353226_497.905793683217	16618.08426	13025.34215	56440.76063	86279.15239	118189.4832	41280.62911	18557.85697	24977.11044	122707.4714	104222.9903	257422.1003	25201.64682	71214.26975	14154.03773	20661.12689	150583.4523	42881.79041	131267.2362	89237.56721	170425.3764	26025.79043	119964.1393	132058.3627	92474.13308
197.044423285407_182.342434788248	8229.526854	4815.197844	16650.44944	12556.26623	9722.358562	16219.82009	23207.97136	6746.696414	18681.22898	1659.455625	8109.575997	24593.69086	24865.9469	8620.72889	7021.551361	16090.39169	15032.09865	0	21622.1194	7002.387859	14282.34717	22207.06407	22673.1056	11437.10978
